Name,Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
Jan,1/2/2018,9,3,N,HB_HOUSTON,HU,42.48
Jan,1/2/2018,9,4,N,HB_HOUSTON,HU,42.9
Jan,1/2/2018,10,1,N,HB_HOUSTON,HU,44.44
Jan,1/2/2018,10,2,N,HB_HOUSTON,HU,44.79
Jan,1/2/2018,10,3,N,HB_HOUSTON,HU,44.14
Jan,1/2/2018,10,4,N,HB_HOUSTON,HU,44.13
Jan,1/2/2018,11,1,N,HB_HOUSTON,HU,46.59
Jan,1/2/2018,11,2,N,HB_HOUSTON,HU,47.68
Jan,1/2/2018,11,3,N,HB_HOUSTON,HU,48.57
Jan,1/2/2018,11,4,N,HB_HOUSTON,HU,47.92
Jan,1/2/2018,12,1,N,HB_HOUSTON,HU,50.34
Jan,1/2/2018,12,2,N,HB_HOUSTON,HU,48.82
Jan,1/2/2018,12,3,N,HB_HOUSTON,HU,48.19
Jan,1/2/2018,12,4,N,HB_HOUSTON,HU,46.62
Jan,1/2/2018,13,1,N,HB_HOUSTON,HU,47
Jan,1/2/2018,13,2,N,HB_HOUSTON,HU,45.62
Jan,1/2/2018,13,3,N,HB_HOUSTON,HU,44.8
Jan,1/2/2018,13,4,N,HB_HOUSTON,HU,44.57
Jan,1/2/2018,14,1,N,HB_HOUSTON,HU,44.93
Jan,1/2/2018,14,2,N,HB_HOUSTON,HU,44.02
Jan,1/2/2018,14,3,N,HB_HOUSTON,HU,44.2
Jan,1/2/2018,14,4,N,HB_HOUSTON,HU,43.75
Jan,1/2/2018,15,1,N,HB_HOUSTON,HU,44.52
Jan,1/2/2018,15,2,N,HB_HOUSTON,HU,44.91
Jan,1/2/2018,15,3,N,HB_HOUSTON,HU,44.97
Jan,1/2/2018,15,4,N,HB_HOUSTON,HU,44.61
Jan,1/2/2018,16,1,N,HB_HOUSTON,HU,43.12
Jan,1/2/2018,16,2,N,HB_HOUSTON,HU,41.32
Jan,1/2/2018,16,3,N,HB_HOUSTON,HU,40.14
Jan,1/2/2018,16,4,N,HB_HOUSTON,HU,39.55
Jan,1/2/2018,17,1,N,HB_HOUSTON,HU,41.12
Jan,1/2/2018,17,2,N,HB_HOUSTON,HU,44.5
Jan,1/2/2018,17,3,N,HB_HOUSTON,HU,44.6
Jan,1/2/2018,17,4,N,HB_HOUSTON,HU,45.28
Jan,1/2/2018,18,1,N,HB_HOUSTON,HU,45.43
Jan,1/2/2018,18,2,N,HB_HOUSTON,HU,48.84
Jan,1/2/2018,18,3,N,HB_HOUSTON,HU,54.23
Jan,1/2/2018,18,4,N,HB_HOUSTON,HU,71.86
Jan,1/2/2018,19,1,N,HB_HOUSTON,HU,60.54
Jan,1/2/2018,19,2,N,HB_HOUSTON,HU,48.68
Jan,1/2/2018,19,3,N,HB_HOUSTON,HU,48.87
Jan,1/2/2018,19,4,N,HB_HOUSTON,HU,49.86
Jan,1/2/2018,20,1,N,HB_HOUSTON,HU,50.68
Jan,1/2/2018,20,2,N,HB_HOUSTON,HU,53
Jan,1/2/2018,20,3,N,HB_HOUSTON,HU,53.68
Jan,1/2/2018,20,4,N,HB_HOUSTON,HU,52.15
Jan,1/2/2018,21,1,N,HB_HOUSTON,HU,60.09
Jan,1/2/2018,21,2,N,HB_HOUSTON,HU,57.15
Jan,1/2/2018,21,3,N,HB_HOUSTON,HU,49.28
Jan,1/2/2018,21,4,N,HB_HOUSTON,HU,47.11
Jan,1/2/2018,22,1,N,HB_HOUSTON,HU,43.8
Jan,1/2/2018,22,2,N,HB_HOUSTON,HU,40.81
Jan,1/2/2018,22,3,N,HB_HOUSTON,HU,38.47
Jan,1/2/2018,22,4,N,HB_HOUSTON,HU,36.28
Jan,1/2/2018,23,1,N,HB_HOUSTON,HU,33.1
Jan,1/2/2018,23,2,N,HB_HOUSTON,HU,30.97
Jan,1/2/2018,23,3,N,HB_HOUSTON,HU,30.58
Jan,1/2/2018,23,4,N,HB_HOUSTON,HU,29.32
Jan,1/2/2018,24,1,N,HB_HOUSTON,HU,29.29
Jan,1/2/2018,24,2,N,HB_HOUSTON,HU,28.76
Jan,1/2/2018,24,3,N,HB_HOUSTON,HU,27.93
Jan,1/2/2018,24,4,N,HB_HOUSTON,HU,27.88
Jan,1/3/2018,1,1,N,HB_HOUSTON,HU,37.35
Jan,1/3/2018,1,2,N,HB_HOUSTON,HU,34.83
Jan,1/3/2018,1,3,N,HB_HOUSTON,HU,32.45
Jan,1/3/2018,1,4,N,HB_HOUSTON,HU,32.41
Jan,1/3/2018,2,1,N,HB_HOUSTON,HU,34.62
Jan,1/3/2018,2,2,N,HB_HOUSTON,HU,33.86
Jan,1/3/2018,2,3,N,HB_HOUSTON,HU,33.81
Jan,1/3/2018,2,4,N,HB_HOUSTON,HU,32.64
Jan,1/3/2018,3,1,N,HB_HOUSTON,HU,32.39
Jan,1/3/2018,3,2,N,HB_HOUSTON,HU,32.98
Jan,1/3/2018,3,3,N,HB_HOUSTON,HU,32.67
Jan,1/3/2018,3,4,N,HB_HOUSTON,HU,32.86
Jan,1/3/2018,4,1,N,HB_HOUSTON,HU,34.85
Jan,1/3/2018,4,2,N,HB_HOUSTON,HU,35.57
Jan,1/3/2018,4,3,N,HB_HOUSTON,HU,33.58
Jan,1/3/2018,4,4,N,HB_HOUSTON,HU,32.51
Jan,1/3/2018,5,1,N,HB_HOUSTON,HU,36.87
Jan,1/3/2018,5,2,N,HB_HOUSTON,HU,39.23
Jan,1/3/2018,5,3,N,HB_HOUSTON,HU,38.27
Jan,1/3/2018,5,4,N,HB_HOUSTON,HU,43.25
Jan,1/3/2018,6,1,N,HB_HOUSTON,HU,42.37
Jan,1/3/2018,6,2,N,HB_HOUSTON,HU,43.65
Jan,1/3/2018,6,3,N,HB_HOUSTON,HU,44.47
Jan,1/3/2018,6,4,N,HB_HOUSTON,HU,45.2
